0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:15 +0530] "GET /student-demo/lib/slickgrid/plugins/slick.rowselectionmodel.js HTTP/1.1" 200 5124
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:15 +0530] "GET /student-demo/lib/slickgrid/plugins/slick.checkboxselectcolumn.js HTTP/1.1" 200 5086
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:15 +0530] "GET /student-demo/lib/d3/d3.js HTTP/1.1" 200 336413
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:15 +0530] "GET /student-demo/lib/fullcalendar/gcal.js HTTP/1.1" 200 5887
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:15 +0530] "GET /student-demo/lib/d3/radar/radar-chart.js HTTP/1.1" 200 6335
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:15 +0530] "GET /student-demo/lib/handsontable/handsontable.full.js HTTP/1.1" 200 920733
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:15 +0530] "GET /student-demo/lib/dhtmlxGantt/dhtmlxgantt.js HTTP/1.1" 200 458746
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:15 +0530] "GET /student-demo/lib/d3/nv/nv.d3.js HTTP/1.1" 200 649422
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:15 +0530] "GET /student-demo/lib/wysiwyg/wysiwyg.js HTTP/1.1" 200 55511
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:15 +0530] "GET /student-demo/lib/d3/funnel/d3-funnel.js HTTP/1.1" 200 19114
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:15 +0530] "GET /student-demo/lib/d3/gauge/gauge-chart.js HTTP/1.1" 200 4194
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/lib/codemirror/codemirror.min.js HTTP/1.1" 200 325062
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/lib/angular/angular-resource.js HTTP/1.1" 200 28127
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/lib/angular/angular-route.js HTTP/1.1" 200 36165
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/lib/angular/angular-animate.js HTTP/1.1" 200 146734
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/lib/angular/angular-sanitize.js HTTP/1.1" 200 24547
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/lib/angular-ui/sortable.js HTTP/1.1" 200 14594
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/lib/intl-tel-input/js/intlTelInput.js HTTP/1.1" 200 89338
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/lib/wysiwyg/wysiwyg-editor.js HTTP/1.1" 200 41327
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/lib/angular/angular.js HTTP/1.1" 200 1100891
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/axelor.ng.js HTTP/1.1" 200 6173
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/lib/i18n.js HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/lib/utils.js HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/axelor.ns.js HTTP/1.1" 200 4602
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/lib/dialogs.js HTTP/1.1" 200 6160
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/lib/tabs.js HTTP/1.1" 200 5894
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/axelor.auth.js HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/axelor.ds.js HTTP/1.1" 200 27096
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/axelor.app.js HTTP/1.1" 200 21870
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/axelor.ui.js HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/axelor.data.js HTTP/1.1" 200 29167
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/axelor.prefs.js HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/widget/widget.navtabs.js HTTP/1.1" 200 2274
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/axelor.nav.js HTTP/1.1" 200 14175
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/widget/widget.navmenu.js HTTP/1.1" 200 12124
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/widget/widget.navtree.js HTTP/1.1" 200 12716
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/widget/widget.slickgrid.js HTTP/1.1" 200 93236
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/widget/widget.search.js HTTP/1.1" 200 57284
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/widget/widget.update.js HTTP/1.1" 200 13443
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/widget/widget.dialog.js HTTP/1.1" 200 4585
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.converters.js HTTP/1.1" 200 11073
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.base.js HTTP/1.1" 200 21985
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/widget/widget.tooltip.js HTTP/1.1" 200 4144
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.actions.js HTTP/1.1" 200 35103
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.layout.js HTTP/1.1" 200 17961
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/widget/widget.menubar.js HTTP/1.1" 200 7960
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.widget.js HTTP/1.1" 200 12812
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.input.static.js HTTP/1.1" 200 22347
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.input.html.js HTTP/1.1" 200 18446
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.container.js HTTP/1.1" 200 21772
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.input.boolean.js HTTP/1.1" 200 7010
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.input.text.js HTTP/1.1" 200 22509
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.input.number.js HTTP/1.1" 200 7580
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.input.datetime.js HTTP/1.1" 200 15620
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.relational.base.js HTTP/1.1" 200 15011
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.input.binary.js HTTP/1.1" 200 12189
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.input.progress.js HTTP/1.1" 200 2745
0:0:0:0:0:0:0:1 - - [07/Oct/2021:11:36:16 +0530] "GET /student-demo/js/form/form.input.spreadsheet.js HTTP/1.1" 200 3819
